zip,type,primary_city,state,county,country,irs_estimated_population
26424,PO BOX,Rosemont,WV,Taylor County,US,282
26425,STANDARD,Rowlesburg,WV,Preston County,US,780
26426,STANDARD,Salem,WV,Harrison County,US,5220
26430,STANDARD,Sand Fork,WV,Gilmer County,US,340
26431,STANDARD,Shinnston,WV,Harrison County,US,5180
26434,PO BOX,Shirley,WV,Tyler County,US,67
26435,PO BOX,Simpson,WV,Taylor County,US,203
26436,PO BOX,Smithburg,WV,Doddridge County,US,162
26437,STANDARD,Smithfield,WV,Wetzel County,US,330
26438,PO BOX,Spelter,WV,Harrison County,US,295
26440,STANDARD,Thornton,WV,Taylor County,US,1040
26443,STANDARD,Troy,WV,Gilmer County,US,197
26444,STANDARD,Tunnelton,WV,Preston County,US,2550
26447,STANDARD,Walkersville,WV,Lewis County,US,980
26448,STANDARD,Wallace,WV,Harrison County,US,940
26451,STANDARD,West Milford,WV,Harrison County,US,650
26452,STANDARD,Weston,WV,Lewis County,US,7900
26456,STANDARD,West Union,WV,Doddridge County,US,2740
26461,STANDARD,Wilsonburg,WV,Harrison County,US,0
26463,PO BOX,Wyatt,WV,Harrison County,US,152
26501,STANDARD,Morgantown,WV,Monongalia County,US,15130
26502,PO BOX,Morgantown,WV,Monongalia County,US,229
26504,PO BOX,Morgantown,WV,Monongalia County,US,337
26505,STANDARD,Morgantown,WV,Monongalia County,US,18930
26506,STANDARD,Morgantown,WV,Monongalia County,US,28
26507,PO BOX,Morgantown,WV,Monongalia County,US,704
26508,STANDARD,Morgantown,WV,Monongalia County,US,31730
26519,STANDARD,Albright,WV,Preston County,US,1470
26520,PO BOX,Arthurdale,WV,Preston County,US,812
26521,STANDARD,Blacksville,WV,Monongalia County,US,410
26524,STANDARD,Bretz,WV,Preston County,US,129
26525,STANDARD,Bruceton Mills,WV,Preston County,US,4940
26527,PO BOX,Cassville,WV,Monongalia County,US,193
26531,PO BOX,Dellslow,WV,Monongalia County,US,1099
26534,PO BOX,Granville,WV,Monongalia County,US,938
26537,STANDARD,Kingwood,WV,Preston County,US,4800
26541,STANDARD,Maidsville,WV,Monongalia County,US,3040
26542,STANDARD,Masontown,WV,Preston County,US,2110
26543,STANDARD,Osage,WV,Monongalia County,US,154
26544,PO BOX,Pentress,WV,Monongalia County,US,247
26546,STANDARD,Pursglove,WV,Monongalia County,US,500
26547,STANDARD,Reedsville,WV,Preston County,US,2510
26554,STANDARD,Fairmont,WV,Marion County,US,34480
26555,PO BOX,Fairmont,WV,Marion County,US,1076
26559,PO BOX,Barrackville,WV,Marion County,US,1341
26560,STANDARD,Baxter,WV,Marion County,US,129
26561,STANDARD,Big Run,WV,Wetzel County,US,0
26562,STANDARD,Burton,WV,Wetzel County,US,500
26563,PO BOX,Carolina,WV,Marion County,US,340
26566,PO BOX,Colfax,WV,Marion County,US,96
26568,STANDARD,Enterprise,WV,Harrison County,US,410
26570,STANDARD,Fairview,WV,Monongalia County,US,2700
26571,STANDARD,Farmington,WV,Marion County,US,1780
26572,PO BOX,Four States,WV,Marion County,US,183
26574,PO BOX,Grant Town,WV,Marion County,US,423
26575,STANDARD,Hundred,WV,Wetzel County,US,650
26576,PO BOX,Idamay,WV,Marion County,US,437
26578,PO BOX,Kingmont,WV,Marion County,US,259
26581,STANDARD,Littleton,WV,Wetzel County,US,690
26582,STANDARD,Mannington,WV,Marion County,US,4050
26585,STANDARD,Metz,WV,Marion County,US,400
26586,STANDARD,Montana Mines,WV,Marion County,US,155
26587,STANDARD,Rachel,WV,Marion County,US,280
26588,STANDARD,Rivesville,WV,Marion County,US,2630
26590,STANDARD,Wana,WV,Monongalia County,US,530
26591,STANDARD,Worthington,WV,Marion County,US,1250
26601,STANDARD,Sutton,WV,Braxton County,US,3140
26610,STANDARD,Birch River,WV,Nicholas County,US,850
26611,STANDARD,Cedarville,WV,Gilmer County,US,239
26615,STANDARD,Copen,WV,Braxton County,US,101
26617,STANDARD,Dille,WV,Clay County,US,171
26619,STANDARD,Exchange,WV,Braxton County,US,420
26621,STANDARD,Flatwoods,WV,Braxton County,US,660
26623,STANDARD,Frametown,WV,Braxton County,US,1050
26624,STANDARD,Gassaway,WV,Braxton County,US,1960
26627,STANDARD,Heaters,WV,Braxton County,US,360
26629,STANDARD,Little Birch,WV,Braxton County,US,350
26631,STANDARD,Napier,WV,Braxton County,US,170
26636,STANDARD,Rosedale,WV,Braxton County,US,390
26638,STANDARD,Shock,WV,Gilmer County,US,133
26651,STANDARD,Summersville,WV,Nicholas County,US,7230
26656,STANDARD,Belva,WV,Nicholas County,US,280
26660,STANDARD,Calvin,WV,Nicholas County,US,260
26662,STANDARD,Canvas,WV,Nicholas County,US,830
26667,PO BOX,Drennen,WV,Nicholas County,US,184
26671,PO BOX,Gilboa,WV,Nicholas County,US,219
26675,PO BOX,Keslers Cross Lanes,WV,Nicholas County,US,103
26676,STANDARD,Leivasy,WV,Nicholas County,US,350
26678,STANDARD,Mount Lookout,WV,Nicholas County,US,1030
26679,STANDARD,Mount Nebo,WV,Nicholas County,US,1540
26680,STANDARD,Nallen,WV,Fayette County,US,250
26681,STANDARD,Nettie,WV,Nicholas County,US,1360
26684,STANDARD,Pool,WV,Nicholas County,US,85
26690,STANDARD,Swiss,WV,Fayette County,US,280
26691,STANDARD,Tioga,WV,Nicholas County,US,310
26704,STANDARD,Augusta,WV,Hampshire County,US,4520
26705,STANDARD,Aurora,WV,Preston County,US,900
26707,PO BOX,Bayard,WV,Grant County,US,282
26710,STANDARD,Burlington,WV,Mineral County,US,1670
26711,STANDARD,Capon Bridge,WV,Hampshire County,US,2300
26714,STANDARD,Delray,WV,Hampshire County,US,340
26716,STANDARD,Eglon,WV,Preston County,US,540
26717,STANDARD,Elk Garden,WV,Mineral County,US,870
26719,STANDARD,Fort Ashby,WV,Mineral County,US,2550
26720,STANDARD,Gormania,WV,Grant County,US,184
26722,STANDARD,Green Spring,WV,Hampshire County,US,480
26726,STANDARD,Keyser,WV,Mineral County,US,10840
26731,STANDARD,Lahmansville,WV,Grant County,US,300
26739,STANDARD,Mount Storm,WV,Grant County,US,660
26743,STANDARD,New Creek,WV,Mineral County,US,1430
26750,STANDARD,Piedmont,WV,Mineral County,US,570
26753,STANDARD,Ridgeley,WV,Mineral County,US,5480
26755,STANDARD,Rio,WV,Hardy County,US,540
26757,STANDARD,Romney,WV,Hampshire County,US,4960
26761,STANDARD,Shanks,WV,Hampshire County,US,480
26763,STANDARD,Springfield,WV,Hampshire County,US,1440
26764,STANDARD,Terra Alta,WV,Preston County,US,3430
26767,STANDARD,Wiley Ford,WV,Mineral County,US,580
26801,STANDARD,Baker,WV,Hardy County,US,1130
26802,STANDARD,Brandywine,WV,Pendleton County,US,940
26804,STANDARD,Circleville,WV,Pendleton County,US,480
26807,STANDARD,Franklin,WV,Pendleton County,US,2390
26808,STANDARD,High View,WV,Hampshire County,US,750
26810,STANDARD,Lost City,WV,Hardy County,US,280
26812,STANDARD,Mathias,WV,Hardy County,US,1430
26814,STANDARD,Riverton,WV,Pendleton County,US,340
26815,STANDARD,Sugar Grove,WV,Pendleton County,US,550
26817,STANDARD,Bloomery,WV,Hampshire County,US,390
26818,STANDARD,Fisher,WV,Hardy County,US,740
26823,PO BOX,Capon Springs,WV,Hampshire County,US,101
26833,STANDARD,Maysville,WV,Grant County,US,1920
26836,STANDARD,Moorefield,WV,Hardy County,US,5560
26838,STANDARD,Milam,WV,Hardy County,US,26
26845,STANDARD,Old Fields,WV,Hardy County,US,770
26847,STANDARD,Petersburg,WV,Grant County,US,5300
26851,STANDARD,Wardensville,WV,Hardy County,US,1690
26852,STANDARD,Purgitsville,WV,Hampshire County,US,670
26855,STANDARD,Cabins,WV,Grant County,US,610
26865,STANDARD,Yellow Spring,WV,Hampshire County,US,430
26866,STANDARD,Upper Tract,WV,Pendleton County,US,680
26884,STANDARD,Seneca Rocks,WV,Pendleton County,US,470
26886,PO BOX,Onego,WV,Pendleton County,US,110
