zip,type,primary_city,state,county,country,irs_estimated_population
25502,STANDARD,Apple Grove,WV,Mason County,US,860
25503,STANDARD,Ashton,WV,Mason County,US,630
25504,STANDARD,Barboursville,WV,Cabell County,US,10400
25505,STANDARD,Big Creek,WV,Logan County,US,260
25506,STANDARD,Branchland,WV,Lincoln County,US,3230
25507,PO BOX,Ceredo,WV,Wayne County,US,1274
25508,STANDARD,Chapmanville,WV,Logan County,US,6510
25510,STANDARD,Culloden,WV,Cabell County,US,4350
25511,STANDARD,Dunlow,WV,Wayne County,US,670
25512,STANDARD,East Lynn,WV,Wayne County,US,770
25514,STANDARD,Fort Gay,WV,Wayne County,US,2830
25515,STANDARD,Gallipolis Ferry,WV,Mason County,US,1670
25517,STANDARD,Genoa,WV,Wayne County,US,1260
25520,STANDARD,Glenwood,WV,Cabell County,US,1110
25521,STANDARD,Griffithsville,WV,Lincoln County,US,800
25523,STANDARD,Hamlin,WV,Lincoln County,US,2030
25524,STANDARD,Harts,WV,Lincoln County,US,2390
25526,STANDARD,Hurricane,WV,Putnam County,US,19870
25529,STANDARD,Julian,WV,Boone County,US,560
25530,STANDARD,Kenova,WV,Wayne County,US,4610
25534,STANDARD,Kiahsville,WV,Wayne County,US,132
25535,STANDARD,Lavalette,WV,Wayne County,US,2150
25537,STANDARD,Lesage,WV,Cabell County,US,1650
25540,STANDARD,Midkiff,WV,Lincoln County,US,220
25541,STANDARD,Milton,WV,Cabell County,US,8250
25544,STANDARD,Myra,WV,Lincoln County,US,34
25545,STANDARD,Ona,WV,Cabell County,US,4120
25547,STANDARD,Pecks Mill,WV,Logan County,US,720
25550,STANDARD,Point Pleasant,WV,Mason County,US,6870
25555,STANDARD,Prichard,WV,Wayne County,US,1770
25557,STANDARD,Ranger,WV,Lincoln County,US,890
25559,STANDARD,Salt Rock,WV,Cabell County,US,1850
25560,STANDARD,Scott Depot,WV,Putnam County,US,8570
25562,PO BOX,Shoals,WV,Wayne County,US,127
25564,STANDARD,Sod,WV,Lincoln County,US,1060
25565,STANDARD,Spurlockville,WV,Lincoln County,US,440
25567,STANDARD,Sumerco,WV,Lincoln County,US,650
25569,PO BOX,Teays,WV,Putnam County,US,117
25570,STANDARD,Wayne,WV,Wayne County,US,4570
25571,STANDARD,West Hamlin,WV,Lincoln County,US,1910
25572,STANDARD,Woodville,WV,Lincoln County,US,0
25573,STANDARD,Yawkey,WV,Lincoln County,US,610
25601,STANDARD,Logan,WV,Logan County,US,4080
25606,PO BOX,Accoville,WV,Logan County,US,803
25607,STANDARD,Amherstdale,WV,Logan County,US,610
25608,STANDARD,Baisden,WV,Mingo County,US,420
25611,PO BOX,Bruno,WV,Logan County,US,448
25612,STANDARD,Chauncey,WV,Logan County,US,97
25614,STANDARD,Cora,WV,Logan County,US,220
25617,STANDARD,Davin,WV,Logan County,US,590
25621,STANDARD,Gilbert,WV,Mingo County,US,1660
25624,PO BOX,Henlawson,WV,Logan County,US,368
25625,STANDARD,Holden,WV,Logan County,US,990
25628,PO BOX,Kistler,WV,Logan County,US,418
25630,PO BOX,Lorado,WV,Logan County,US,499
25632,STANDARD,Lyburn,WV,Logan County,US,320
25634,PO BOX,Mallory,WV,Logan County,US,631
25635,STANDARD,Man,WV,Logan County,US,1390
25637,PO BOX,Mount Gay,WV,Logan County,US,1055
25638,STANDARD,Omar,WV,Logan County,US,680
25639,PO BOX,Peach Creek,WV,Logan County,US,560
25644,PO BOX,Sarah Ann,WV,Logan County,US,256
25646,PO BOX,Stollings,WV,Logan County,US,951
25647,PO BOX,Switzer,WV,Logan County,US,672
25649,PO BOX,Verdunville,WV,Logan County,US,1075
25650,STANDARD,Verner,WV,Mingo County,US,240
25651,STANDARD,Wharncliffe,WV,Mingo County,US,490
25652,PO BOX,Whitman,WV,Logan County,US,958
25653,PO BOX,Wilkinson,WV,Logan County,US,364
25654,STANDARD,Yolyn,WV,Logan County,US,81
25661,STANDARD,Williamson,WV,Mingo County,US,3870
25665,PO BOX,Borderland,WV,Mingo County,US,152
25666,STANDARD,Breeden,WV,Mingo County,US,190
25667,PO BOX,Chattaroy,WV,Mingo County,US,507
25669,STANDARD,Crum,WV,Wayne County,US,660
25670,STANDARD,Delbarton,WV,Mingo County,US,3390
25671,STANDARD,Dingess,WV,Mingo County,US,830
25672,STANDARD,Edgarton,WV,Mingo County,US,266
25674,STANDARD,Kermit,WV,Mingo County,US,1840
25676,STANDARD,Lenore,WV,Mingo County,US,1090
25678,STANDARD,Matewan,WV,Mingo County,US,1290
25685,PO BOX,Naugatuck,WV,Mingo County,US,404
25686,PO BOX,Newtown,WV,Mingo County,US,218
25688,PO BOX,North Matewan,WV,Mingo County,US,353
25690,PO BOX,Ragland,WV,Mingo County,US,350
25691,PO BOX,Rawl,WV,Mingo County,US,208
25692,PO BOX,Red Jacket,WV,Mingo County,US,413
25696,PO BOX,Varney,WV,Mingo County,US,593
25699,STANDARD,Wilsondale,WV,Wayne County,US,135
25701,STANDARD,Huntington,WV,Cabell County,US,15950
25702,STANDARD,Huntington,WV,Cabell County,US,5010
25703,STANDARD,Huntington,WV,Cabell County,US,2160
25704,STANDARD,Huntington,WV,Wayne County,US,11750
25705,STANDARD,Huntington,WV,Cabell County,US,16550
